PathwayID,PathwayName
1100,Metabolic pathways
1110,Biosynthesis of secondary metabolites
1120,Microbial metabolism in diverse environments
1130,Biosynthesis of antibiotics
1200,Carbon metabolism
1210,2-Oxocarboxylic acid metabolism
1212,Fatty acid metabolism
1230,Biosynthesis of amino acids
1220,Degradation of aromatic compounds
10,Glycolysis / Gluconeogenesis
20,Citrate cycle (TCA cycle)
30,Pentose phosphate pathway
40,Pentose and glucuronate interconversions
51,Fructose and mannose metabolism
52,Galactose metabolism
53,Ascorbate and aldarate metabolism
500,Starch and sucrose metabolism
520,Amino sugar and nucleotide sugar metabolism
620,Pyruvate metabolism
630,Glyoxylate and dicarboxylate metabolism
640,Propanoate metabolism
650,Butanoate metabolism
660,C5-Branched dibasic acid metabolism
562,Inositol phosphate metabolism
190,Oxidative phosphorylation
195,Photosynthesis
196,Photosynthesis - antenna proteins
710,Carbon fixation in photosynthetic organisms
720,Carbon fixation pathways in prokaryotes
680,Methane metabolism
910,Nitrogen metabolism
920,Sulfur metabolism
61,Fatty acid biosynthesis
62,Fatty acid elongation
71,Fatty acid degradation
72,Synthesis and degradation of ketone bodies
73,"Cutin, suberine and wax biosynthesis"
100,Steroid biosynthesis
120,Primary bile acid biosynthesis
121,Secondary bile acid biosynthesis
140,Steroid hormone biosynthesis
561,Glycerolipid metabolism
564,Glycerophospholipid metabolism
565,Ether lipid metabolism
600,Sphingolipid metabolism
590,Arachidonic acid metabolism
591,Linoleic acid metabolism
592,alpha-Linolenic acid metabolism
1040,Biosynthesis of unsaturated fatty acids
230,Purine metabolism
240,Pyrimidine metabolism
250,"Alanine, aspartate and glutamate metabolism"
260,"Glycine, serine and threonine metabolism"
270,Cysteine and methionine metabolism
280,"Valine, leucine and isoleucine degradation"
290,"Valine, leucine and isoleucine biosynthesis"
300,Lysine biosynthesis
310,Lysine degradation
220,Arginine biosynthesis
330,Arginine and proline metabolism
340,Histidine metabolism
350,Tyrosine metabolism
360,Phenylalanine metabolism
380,Tryptophan metabolism
400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
410,beta-Alanine metabolism
430,Taurine and hypotaurine metabolism
440,Phosphonate and phosphinate metabolism
450,Selenocompound metabolism
460,Cyanoamino acid metabolism
471,D-Glutamine and D-glutamate metabolism
472,D-Arginine and D-ornithine metabolism
473,D-Alanine metabolism
480,Glutathione metabolism
510,N-Glycan biosynthesis
513,Various types of N-glycan biosynthesis
512,Mucin type O-glycan biosynthesis
515,Mannose type O-glycan biosynthesis
514,Other types of O-glycan biosynthesis
532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
533,Glycosaminoglycan biosynthesis - keratan sulfate
531,Glycosaminoglycan degradation
563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
601,Glycosphingolipid biosynthesis - lacto and neolacto series
603,Glycosphingolipid biosynthesis - globo and isoglobo series
604,Glycosphingolipid biosynthesis - ganglio series
540,Lipopolysaccharide biosynthesis
550,Peptidoglycan biosynthesis
511,Other glycan degradation
571,Lipoarabinomannan (LAM) biosynthesis
572,Arabinogalactan biosynthesis - Mycobacterium
730,Thiamine metabolism
740,Riboflavin metabolism
750,Vitamin B6 metabolism
760,Nicotinate and nicotinamide metabolism
770,Pantothenate and CoA biosynthesis
780,Biotin metabolism
785,Lipoic acid metabolism
790,Folate biosynthesis
670,One carbon pool by folate
830,Retinol metabolism
860,Porphyrin and chlorophyll metabolism
130,Ubiquinone and other terpenoid-quinone biosynthesis
900,Terpenoid backbone biosynthesis
902,Monoterpenoid biosynthesis
909,Sesquiterpenoid and triterpenoid biosynthesis
904,Diterpenoid biosynthesis
906,Carotenoid biosynthesis
905,Brassinosteroid biosynthesis
981,Insect hormone biosynthesis
908,Zeatin biosynthesis
903,Limonene and pinene degradation
281,Geraniol degradation
1052,Type I polyketide structures
522,"Biosynthesis of 12-, 14- and 16-membered macrolides"
1051,Biosynthesis of ansamycins
1059,Biosynthesis of enediyne antibiotics
1056,Biosynthesis of type II polyketide backbone
1057,Biosynthesis of type II polyketide products
253,Tetracycline biosynthesis
523,Polyketide sugar unit biosynthesis
1054,Nonribosomal peptide structures
1053,Biosynthesis of siderophore group nonribosomal peptides
1055,Biosynthesis of vancomycin group antibiotics
940,Phenylpropanoid biosynthesis
945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
941,Flavonoid biosynthesis
944,Flavone and flavonol biosynthesis
942,Anthocyanin biosynthesis
943,Isoflavonoid biosynthesis
901,Indole alkaloid biosynthesis
403,Indole diterpene alkaloid biosynthesis
950,Isoquinoline alkaloid biosynthesis
960,"Tropane, piperidine and pyridine alkaloid biosynthesis"
1058,Acridone alkaloid biosynthesis
232,Caffeine metabolism
965,Betalain biosynthesis
966,Glucosinolate biosynthesis
402,Benzoxazinoid biosynthesis
311,Penicillin and cephalosporin biosynthesis
332,Carbapenem biosynthesis
261,Monobactam biosynthesis
331,Clavulanic acid biosynthesis
521,Streptomycin biosynthesis
524,"Neomycin, kanamycin and gentamicin biosynthesis"
525,Acarbose and validamycin biosynthesis
231,Puromycin biosynthesis
401,Novobiocin biosynthesis
404,Staurosporine biosynthesis
405,Phenazine biosynthesis
333,Prodigiosin biosynthesis
254,Aflatoxin biosynthesis
998,Biosynthesis of secondary metabolites - other antibiotics
999,Biosynthesis of secondary metabolites - unclassified
362,Benzoate degradation
627,Aminobenzoate degradation
364,Fluorobenzoate degradation
625,Chloroalkane and chloroalkene degradation
361,Chlorocyclohexane and chlorobenzene degradation
623,Toluene degradation
622,Xylene degradation
633,Nitrotoluene degradation
642,Ethylbenzene degradation
643,Styrene degradation
791,Atrazine degradation
930,Caprolactam degradation
363,Bisphenol degradation
621,Dioxin degradation
626,Naphthalene degradation
624,Polycyclic aromatic hydrocarbon degradation
365,Furfural degradation
984,Steroid degradation
980,Metabolism of xenobiotics by cytochrome P450
982,Drug metabolism - cytochrome P450
983,Drug metabolism - other enzymes
1010,Overview of biosynthetic pathways
1060,Biosynthesis of plant secondary metabolites
1061,Biosynthesis of phenylpropanoids
1062,Biosynthesis of terpenoids and steroids
1063,Biosynthesis of alkaloids derived from shikimate pathway
1064,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
1065,Biosynthesis of alkaloids derived from histidine and purine
1066,Biosynthesis of alkaloids derived from terpenoid and polyketide
1070,Biosynthesis of plant hormones
3020,RNA polymerase
3022,Basal transcription factors
3040,Spliceosome
3010,Ribosome
970,Aminoacyl-tRNA biosynthesis
3013,RNA transport
3015,mRNA surveillance pathway
3008,Ribosome biogenesis in eukaryotes
3060,Protein export
4141,Protein processing in endoplasmic reticulum
4130,SNARE interactions in vesicular transport
4120,Ubiquitin mediated proteolysis
4122,Sulfur relay system
3050,Proteasome
3018,RNA degradation
3030,DNA replication
3410,Base excision repair
3420,Nucleotide excision repair
3430,Mismatch repair
3440,Homologous recombination
3450,Non-homologous end-joining
3460,Fanconi anemia pathway
2010,ABC transporters
2060,Phosphotransferase system (PTS)
3070,Bacterial secretion system
2020,Two-component system
4014,Ras signaling pathway
4015,Rap1 signaling pathway
4010,MAPK signaling pathway
4013,MAPK signaling pathway - fly
4016,MAPK signaling pathway - plant
4011,MAPK signaling pathway - yeast
4012,ErbB signaling pathway
4310,Wnt signaling pathway
4330,Notch signaling pathway
4340,Hedgehog signaling pathway
4341,Hedgehog signaling pathway - fly
4350,TGF-beta signaling pathway
4390,Hippo signaling pathway
4391,Hippo signaling pathway - fly
4392,Hippo signaling pathway - multiple species
4370,VEGF signaling pathway
4371,Apelin signaling pathway
4630,Jak-STAT signaling pathway
4064,NF-kappa B signaling pathway
4668,TNF signaling pathway
4066,HIF-1 signaling pathway
4068,FoxO signaling pathway
4020,Calcium signaling pathway
4070,Phosphatidylinositol signaling system
4072,Phospholipase D signaling pathway
4071,Sphingolipid signaling pathway
4024,cAMP signaling pathway
4022,cGMP-PKG signaling pathway
4151,PI3K-Akt signaling pathway
4152,AMPK signaling pathway
4150,mTOR signaling pathway
4075,Plant hormone signal transduction
4080,Neuroactive ligand-receptor interaction
4060,Cytokine-cytokine receptor interaction
4061,Viral protein interaction with cytokine and cytokine receptor
4512,ECM-receptor interaction
4514,Cell adhesion molecules (CAMs)
4144,Endocytosis
4145,Phagosome
4142,Lysosome
4146,Peroxisome
4140,Autophagy - animal
4138,Autophagy - yeast
4136,Autophagy - other
4137,Mitophagy - animal
4139,Mitophagy - yeast
4110,Cell cycle
4111,Cell cycle - yeast
4112,Cell cycle - Caulobacter
4113,Meiosis - yeast
4114,Oocyte meiosis
4210,Apoptosis
4214,Apoptosis - fly
4215,Apoptosis - multiple species
4216,Ferroptosis
4217,Necroptosis
4115,p53 signaling pathway
4218,Cellular senescence
4510,Focal adhesion
4520,Adherens junction
4530,Tight junction
4540,Gap junction
4550,Signaling pathways regulating pluripotency of stem cells
2024,Quorum sensing
5111,Biofilm formation - Vibrio cholerae
2025,Biofilm formation - Pseudomonas aeruginosa
2026,Biofilm formation - Escherichia coli
2030,Bacterial chemotaxis
2040,Flagellar assembly
4810,Regulation of actin cytoskeleton
4640,Hematopoietic cell lineage
4610,Complement and coagulation cascades
4611,Platelet activation
4620,Toll-like receptor signaling pathway
4624,Toll and Imd signaling pathway
4621,NOD-like receptor signaling pathway
4622,RIG-I-like receptor signaling pathway
4623,Cytosolic DNA-sensing pathway
4625,C-type lectin receptor signaling pathway
4650,Natural killer cell mediated cytotoxicity
4612,Antigen processing and presentation
4660,T cell receptor signaling pathway
4658,Th1 and Th2 cell differentiation
4659,Th17 cell differentiation
4657,IL-17 signaling pathway
4662,B cell receptor signaling pathway
4664,Fc epsilon RI signaling pathway
4666,Fc gamma R-mediated phagocytosis
4670,Leukocyte transendothelial migration
4672,Intestinal immune network for IgA production
4062,Chemokine signaling pathway
4911,Insulin secretion
4910,Insulin signaling pathway
4922,Glucagon signaling pathway
4923,Regulation of lipolysis in adipocytes
4920,Adipocytokine signaling pathway
3320,PPAR signaling pathway
4929,GnRH secretion
4912,GnRH signaling pathway
4913,Ovarian steroidogenesis
4915,Estrogen signaling pathway
4914,Progesterone-mediated oocyte maturation
4917,Prolactin signaling pathway
4921,Oxytocin signaling pathway
4926,Relaxin signaling pathway
4935,"Growth hormone synthesis, secretion and action"
4918,Thyroid hormone synthesis
4919,Thyroid hormone signaling pathway
4928,"Parathyroid hormone synthesis, secretion and action"
4916,Melanogenesis
4924,Renin secretion
4614,Renin-angiotensin system
4925,Aldosterone synthesis and secretion
4927,Cortisol synthesis and secretion
4260,Cardiac muscle contraction
4261,Adrenergic signaling in cardiomyocytes
4270,Vascular smooth muscle contraction
4970,Salivary secretion
4971,Gastric acid secretion
4972,Pancreatic secretion
4976,Bile secretion
4973,Carbohydrate digestion and absorption
4974,Protein digestion and absorption
4975,Fat digestion and absorption
4979,Cholesterol metabolism
4977,Vitamin digestion and absorption
4978,Mineral absorption
4962,Vasopressin-regulated water reabsorption
4960,Aldosterone-regulated sodium reabsorption
4961,Endocrine and other factor-regulated calcium reabsorption
4964,Proximal tubule bicarbonate reclamation
4966,Collecting duct acid secretion
4724,Glutamatergic synapse
4727,GABAergic synapse
4725,Cholinergic synapse
4728,Dopaminergic synapse
4726,Serotonergic synapse
4720,Long-term potentiation
4730,Long-term depression
4723,Retrograde endocannabinoid signaling
4721,Synaptic vesicle cycle
4722,Neurotrophin signaling pathway
4744,Phototransduction
4745,Phototransduction - fly
4740,Olfactory transduction
4742,Taste transduction
4750,Inflammatory mediator regulation of TRP channels
4320,Dorso-ventral axis formation
4360,Axon guidance
4361,Axon regeneration
4380,Osteoclast differentiation
4211,Longevity regulating pathway
4212,Longevity regulating pathway - worm
4213,Longevity regulating pathway - multiple species
4710,Circadian rhythm
4713,Circadian entrainment
4711,Circadian rhythm - fly
4712,Circadian rhythm - plant
4714,Thermogenesis
4626,Plant-pathogen interaction
5200,Pathways in cancer
5202,Transcriptional misregulation in cancer
5206,MicroRNAs in cancer
5205,Proteoglycans in cancer
5204,Chemical carcinogenesis
5203,Viral carcinogenesis
5230,Central carbon metabolism in cancer
5231,Choline metabolism in cancer
5235,PD-L1 expression and PD-1 checkpoint pathway in cancer
5210,Colorectal cancer
5212,Pancreatic cancer
5225,Hepatocellular carcinoma
5226,Gastric cancer
5214,Glioma
5216,Thyroid cancer
5221,Acute myeloid leukemia
5220,Chronic myeloid leukemia
5217,Basal cell carcinoma
5218,Melanoma
5211,Renal cell carcinoma
5219,Bladder cancer
5215,Prostate cancer
5213,Endometrial cancer
5224,Breast cancer
5222,Small cell lung cancer
5223,Non-small cell lung cancer
5310,Asthma
5322,Systemic lupus erythematosus
5323,Rheumatoid arthritis
5320,Autoimmune thyroid disease
5321,Inflammatory bowel disease (IBD)
5330,Allograft rejection
5332,Graft-versus-host disease
5340,Primary immunodeficiency
5010,Alzheimer disease
5012,Parkinson disease
5014,Amyotrophic lateral sclerosis (ALS)
5016,Huntington disease
5020,Prion diseases
5030,Cocaine addiction
5031,Amphetamine addiction
5032,Morphine addiction
5033,Nicotine addiction
5034,Alcoholism
5418,Fluid shear stress and atherosclerosis
5410,Hypertrophic cardiomyopathy (HCM)
5412,Arrhythmogenic right ventricular cardiomyopathy (ARVC)
5414,Dilated cardiomyopathy (DCM)
5416,Viral myocarditis
4930,Type II diabetes mellitus
4940,Type I diabetes mellitus
4950,Maturity onset diabetes of the young
4932,Non-alcoholic fatty liver disease (NAFLD)
4931,Insulin resistance
4933,AGE-RAGE signaling pathway in diabetic complications
4934,Cushing syndrome
5110,Vibrio cholerae infection
5120,Epithelial cell signaling in Helicobacter pylori infection
5130,Pathogenic Escherichia coli infection
5132,Salmonella infection
5131,Shigellosis
5135,Yersinia infection
5133,Pertussis
5134,Legionellosis
5150,Staphylococcus aureus infection
5152,Tuberculosis
5100,Bacterial invasion of epithelial cells
5166,Human T-cell leukemia virus 1 infection
5170,Human immunodeficiency virus 1 infection
5162,Measles
5164,Influenza A
5161,Hepatitis B
5160,Hepatitis C
5168,Herpes simplex virus 1 infection
5163,Human cytomegalovirus infection
5167,Kaposi sarcoma-associated herpesvirus infection
5169,Epstein-Barr virus infection
5165,Human papillomavirus infection
5146,Amoebiasis
5144,Malaria
5145,Toxoplasmosis
5140,Leishmaniasis
5142,Chagas disease (American trypanosomiasis)
5143,African trypanosomiasis
1501,beta-Lactam resistance
1502,Vancomycin resistance
1503,Cationic antimicrobial peptide (CAMP) resistance
1521,EGFR tyrosine kinase inhibitor resistance
1524,Platinum drug resistance
1523,Antifolate resistance
1522,Endocrine resistance
7011,Penicillins
7012,Cephalosporins - parenteral agents
7013,Cephalosporins - oral agents
7021,Aminoglycosides
7019,Tetracyclines
7020,Macrolides and ketolides
7014,Quinolones
7023,Rifamycins
7026,Antifungal agents
7044,Antiviral agents
7053,Anti-HIV agents
7040,Antineoplastics - alkylating agents
7041,Antineoplastics - antimetabolic agents
7042,Antineoplastics - agents from natural products
7043,Antineoplastics - hormones
7045,Antineoplastics - protein kinases inhibitors
7032,Hypnotics
7030,Anxiolytics
7033,Anticonvulsants
7015,Local analgesics
7039,Opioid analgesics
7028,Antipsychotics
7029,Antipsychotics - phenothiazines
7031,Antipsychotics - butyrophenones
7027,Antidepressants
7056,Agents for Alzheimer-type dementia
7057,Antiparkinsonian agents
7055,Sulfonamide derivatives - overview
7016,Sulfonamide derivatives - sulfa drugs
7017,Sulfonamide derivatives - diuretics
7018,Sulfonamide derivatives - hypoglycemic agents
7037,Antiarrhythmic drugs
7038,Antiulcer drugs
7046,Immunosuppressive agents
7047,Osteoporosis drugs
7048,Antimigraines
7049,Antithrombosis agents
7050,Antirheumatics - DMARDs and biological agents
7051,Antidiabetics
7052,Antidyslipidemic agents
7054,Antiglaucoma agents
7220,Cholinergic and anticholinergic drugs
7215,alpha-Adrenergic receptor agonists/antagonists
7214,beta-Adrenergic receptor agonists/antagonists
7213,Dopamine receptor agonists/antagonists
7212,Histamine H1 receptor antagonists
7227,Histamine H2/H3 receptor agonists/antagonists
7211,Serotonin receptor agonists/antagonists
7228,Eicosanoid receptor agonists/antagonists
7224,Opioid receptor agonists/antagonists
7229,Angiotensin receptor and endothelin receptor antagonists
7225,Glucocorticoid and mineralocorticoid receptor agonists/antagonists
7226,"Progesterone, androgen and estrogen receptor agonists/antagonists"
7223,Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists
7222,Peroxisome proliferator-activated receptor (PPAR) agonists
7221,Nicotinic cholinergic receptor antagonists
7230,GABA-A receptor agonists/antagonists
7036,Calcium channel blocking drugs
7231,Sodium channel blocking drugs
7232,Potassium channel blocking and opening drugs
7235,N-Metyl-D-aspartic acid receptor antagonists
7233,Ion transporter inhibitors
7234,Neurotransmitter transporter inhibitors
7216,Catecholamine transferase inhibitors
7219,Cyclooxygenase inhibitors
7024,HMG-CoA reductase inhibitors
7217,Renin-angiotensin system inhibitors
7218,HIV protease inhibitors
7025,Quinolines
7034,Eicosanoids
7035,Prostaglandins
7110,Benzoic acid family
7112,"1,2-Diphenyl substitution family"
7114,Naphthalene family
7117,Benzodiazepine family
